Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,Antimony,ANTIMONY,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Freshwater,Toxics,Antimony,ANTIMONY,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Marine,Toxics,Antimony,ANTIMONY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,Arsenic ,ARSENIC,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Stock Watering
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Irrigation
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
